File,Statement,Bug
TestLogicalPlanBuilder.java,"['package', 'org', '.', 'apache', '.', 'pig', '.', 'test', ';']",0
TestLogicalPlanBuilder.java,"['import', 'java', '.', 'io', '.', 'IOException', ';']",0
TestLogicalPlanBuilder.java,"['import', 'java', '.', 'io', '.', 'InputStream', ';']",0
TestLogicalPlanBuilder.java,"['import', 'java', '.', 'util', '.', 'HashMap', ';']",0
TestLogicalPlanBuilder.java,"['import', 'java', '.', 'util', '.', 'Iterator', ';']",0
TestLogicalPlanBuilder.java,"['import', 'java', '.', 'util', '.', 'Map', ';']",0
TestLogicalPlanBuilder.java,"['import', 'java', '.', 'util', '.', 'Properties', ';']",0
TestLogicalPlanBuilder.java,"['import', 'java', '.', 'net', '.', 'URL', ';']",0
TestLogicalPlanBuilder.java,"['import', 'java', '.', 'util', '.', 'List', ';']",0
TestLogicalPlanBuilder.java,"['import', 'java', '.', 'util', '.', 'ArrayList', ';']",0
TestLogicalPlanBuilder.java,"['import', 'java', '.', 'util', '.', 'Set', ';']",0
TestLogicalPlanBuilder.java,"['import', 'junit', '.', 'framework', '.', 'AssertionFailedError', ';']",0
TestLogicalPlanBuilder.java,"['import', 'org', '.', 'junit', '.', 'Test', ';']",0
TestLogicalPlanBuilder.java,"['import', 'org', '.', 'apache', '.', 'commons', '.', 'logging', '.', 'Log', ';']",0
TestLogicalPlanBuilder.java,"['import', 'org', '.', 'apache', '.', 'commons', '.', 'logging', '.', 'LogFactory', ';']",0
TestLogicalPlanBuilder.java,"['import', 'org', '.', 'apache', '.', 'pig', '.', 'LoadFunc', ';']",0
TestLogicalPlanBuilder.java,"['import', 'org', '.', 'apache', '.', 'pig', '.', 'FuncSpec', ';']",0
TestLogicalPlanBuilder.java,"['import', 'org', '.', 'apache', '.', 'pig', '.', 'PigServer', ';']",0
TestLogicalPlanBuilder.java,"['import', 'org', '.', 'apache', '.', 'pig', '.', 'backend', '.', 'datastorage', '.', 'DataStorage', ';']",0
